group,parameter,coeff
idu_white_male,sqrtcd4',0.025808463330499
idu_white_male,sqrtcd4'',-0.008704033310530209
idu_white_male,sqrtcd4_post,0.0192729633068162
idu_white_male,sqrtcd4_post',-0.0143027774351403
idu_white_male,sqrtcd4_post'',0.0103394336650453
msm_black_male,age,0.0028125468709626397
msm_black_male,age',-0.005030801980858961
msm_black_male,age'',0.00509500278107439
msm_black_male,h1yy,0.00656311952799521
msm_black_male,intercept,-13.200814596440498
msm_black_male,pre_sqrt,0.987647815542302
msm_black_male,pre_sqrt',-0.000462501212637562
msm_black_male,pre_sqrt'',-0.0440271537433276
msm_black_male,sqrtcd4,-0.0264940215559057
msm_black_male,sqrtcd4',0.00937064257745063
msm_black_male,sqrtcd4'',0.0107059673027845
msm_black_male,sqrtcd4_post,0.0264187125623778
msm_black_male,sqrtcd4_post',-0.0345655349179947
msm_black_male,sqrtcd4_post'',0.115953943315656
msm_hisp_male,age,0.0008281248652029719
msm_hisp_male,age',0.00376073887892155
msm_hisp_male,age'',-0.0113423505958765
msm_hisp_male,h1yy,0.00778141672039715
msm_hisp_male,intercept,-15.330145148898499
msm_hisp_male,pre_sqrt,0.9453171233079
msm_hisp_male,pre_sqrt',-0.0903690973759392
msm_hisp_male,pre_sqrt'',0.40655508570490795
msm_hisp_male,sqrtcd4,-0.0257086767408417
msm_hisp_male,sqrtcd4',0.0124898741166494
msm_hisp_male,sqrtcd4'',-0.0109928814025918
msm_hisp_male,sqrtcd4_post,0.0219732967580536
msm_hisp_male,sqrtcd4_post',-0.0325806984121222
msm_hisp_male,sqrtcd4_post'',0.11819260633816801
msm_white_male,age,0.0037782827540944297
msm_white_male,age',-0.007822079543587629
msm_white_male,age'',0.0178460867559816
msm_white_male,h1yy,0.0052041164163779295
msm_white_male,intercept,-9.31378560313984
msm_white_male,pre_sqrt,0.766973082894103
msm_white_male,pre_sqrt',0.48137278710940895
msm_white_male,pre_sqrt'',-1.1711401538105901
msm_white_male,sqrtcd4,-0.0240032437056322
